"Block","Treatment","Surface_area_cm2","Tissue","ID"
2,"F1",400,"OtherDeciduous_NewLeaves",NA
2,"F1",400,"OtherDeciduous_NewStems",NA
2,"F1",400,"OtherDeciduous_OldStems",NA
2,"F1",400,"OtherDeciduous_Inflor",NA
2,"F1",400,"OtherDeciduous_BelowStem",NA
2,"F1",400,"Ledpal_NewLeaves","653"
2,"F1",400,"Ledpal_NewStems","654"
2,"F1",400,"Ledpal_OldLeaves","655"
2,"F1",400,"Ledpal_OldStems","656"
2,"F1",400,"Ledpal_Inflor","657"
2,"F1",400,"Ledpal_BelowStem","638"
2,"F1",400,"Vacvit_NewLeaves","648"
2,"F1",400,"Vacvit_NewStems","649"
2,"F1",400,"Vacvit_OldLeaves","950"
2,"F1",400,"Vacvit_OldStems","650"
2,"F1",400,"Vacvit_Inflor","651"
2,"F1",400,"Vacvit_BelowStem","652"
2,"F1",400,"Castet_NewStems",NA
2,"F1",400,"Castet_OldStems",NA
2,"F1",400,"Castet_Inflor",NA
2,"F1",400,"Castet_BelowStem",NA
2,"F1",400,"OtherEvergreen_NewLeaves","658"
2,"F1",400,"OtherEvergreen_NewStems","659"
2,"F1",400,"OtherEvergreen_OldLeaves","660"
2,"F1",400,"OtherEvergreen_OldStems","661"
2,"F1",400,"OtherEvergreen_Inflor","662"
2,"F1",400,"OtherEvergreen_BelowStem","663"
2,"F1",400,"Rubcha_LeavesStems","640"
2,"F1",400,"Rubcha_InflorStalks","957"
2,"F1",400,"Rubcha_BelowStem","641"
2,"F1",400,"Petfri_LeavesStems",NA
2,"F1",400,"Petfri_InflorStalks",NA
2,"F1",400,"Petfri_BelowStem",NA
2,"F1",400,"OtherForb_LeavesStems","639"
2,"F1",400,"OtherForb_InflorStalks",NA
